u_in,t_wall,tpms_type,cell_size,perm,dp_per_L,QoI_eps_star,QoI_U_UI,QoI_SR_UI,QoI_P_UI,QoI_T_uniformity,QoI_G_SI
0.5,5,KEL,20,1.01E-07,346.3768333,834.0047552,0.094827868,0.115301854,0.335877627,4.18E-07,0.347372002
0.7,5,KEL,20,1.01E-07,659.7916667,820.7779359,0.09461509,0.114311295,0.336180663,6.45E-07,0.347433795
1,5,KEL,20,1.01E-07,1322.991667,815.833756,0.094484028,0.113739538,0.336461047,1.63E-06,0.347475751
1.4,5,KEL,20,1.01E-07,2566.496667,814.8220554,0.094419906,0.113411508,0.336625842,3.46E-06,0.34741566
1.9,5,KEL,20,1.01E-07,4696.076667,814.9315585,0.094418049,0.113087235,0.336676622,6.55E-06,0.347243389
0.5,6.2,KEL,25,1.83E-07,257.7748,750.070464,0.100552865,0.114788713,0.350692588,6.93E-07,0.30131547
0.7,6.2,KEL,25,1.83E-07,496.3826667,748.4965598,0.099877297,0.114336698,0.350717708,5.20E-07,0.301879617
1,6.2,KEL,25,1.83E-07,999.7493333,745.71228,0.099375973,0.114098711,0.350850719,9.12E-07,0.302330648
1.4,6.2,KEL,25,1.83E-07,1941.577333,744.1159621,0.099042994,0.113852536,0.35093299,1.98E-06,0.302702697
1.9,6.2,KEL,25,1.83E-07,3553.724,743.357574,0.098776578,0.113679133,0.350939572,3.83E-06,0.302895207
0.5,7.5,KEL,30,2.99E-07,238.0338889,967.737408,0.111349167,0.141107813,0.351089155,7.89E-07,0.254046811
0.7,7.5,KEL,30,2.99E-07,460.9295556,960.9988338,0.110015557,0.13954478,0.350187589,5.08E-07,0.253661978
1,7.5,KEL,30,2.99E-07,932.7922222,958.390904,0.109405745,0.138408621,0.349606638,6.03E-07,0.253401928
1.4,7.5,KEL,30,2.99E-07,1815.941111,955.6133236,0.109044979,0.137862431,0.34945786,1.35E-06,0.253568356
1.9,7.5,KEL,30,2.99E-07,3328.017778,953.5001954,0.108808355,0.137525506,0.349229144,2.70E-06,0.253605227
0.5,2,KEL,10,4.13E-07,615.72,1306.873872,0.101790701,0.15093184,0.298878975,6.63E-07,0.293301928
0.7,2,KEL,10,4.13E-07,1111.303333,1169.191774,0.099469276,0.147760851,0.298147374,4.14E-07,0.293669019
1,2,KEL,10,4.13E-07,2130.026667,1076.872356,0.098241139,0.146204977,0.297467384,5.07E-07,0.293452558
1.4,2,KEL,10,4.13E-07,4032.866667,1035.567866,0.097558954,0.145144578,0.297142072,1.16E-06,0.293304197
1.9,2,KEL,10,4.13E-07,7284.4,1017.936121,0.097113598,0.144367457,0.296911512,2.32E-06,0.293230258
0.5,2.9,KEL,15,1.80E-07,362.8977778,904.8324192,0.08765225,0.143045288,0.394592243,4.89E-07,0.315924956
0.7,2.9,KEL,15,1.80E-07,674.3511111,834.9970671,0.086330087,0.137197972,0.395310103,3.48E-07,0.31841089
1,2.9,KEL,15,1.80E-07,1333.44,805.942464,0.085203177,0.132825522,0.395455444,8.79E-07,0.32051996
1.4,2.9,KEL,15,1.80E-07,2573.111111,797.2491472,0.084373003,0.129707126,0.395415679,2.01E-06,0.322120294
1.9,2.9,KEL,15,1.80E-07,4693.844444,791.9644584,0.083803045,0.129041968,0.395247102,3.91E-06,0.323145227
0.5,4,KEL,20,2.33E-07,279.3016667,1092.503268,0.063718209,0.112181624,0.367550527,6.22E-07,0.288660699
0.7,4,KEL,20,2.33E-07,531.7483333,1058.925752,0.062978155,0.110909037,0.367461051,4.22E-07,0.289112382
1,4,KEL,20,2.33E-07,1065.308333,1043.212878,0.062590901,0.110739074,0.366672502,8.47E-07,0.288773562
1.4,4,KEL,20,2.33E-07,2064.966667,1035.383287,0.062411996,0.110228028,0.366288535,1.93E-06,0.288780323
1.9,4,KEL,20,2.33E-07,3774.8,1029.572668,0.062377549,0.109787418,0.36605763,3.74E-06,0.288834931
0.5,4.9,KEL,25,4.37E-07,175.3461333,807.5193936,0.09843178,0.127752706,0.356195916,5.71E-07,0.263826679
0.7,4.9,KEL,25,4.37E-07,335.38,790.6751545,0.098004801,0.127661468,0.355836147,3.42E-07,0.263859698
1,4.9,KEL,25,4.37E-07,673.8373333,782.122536,0.097645629,0.127498817,0.355787983,7.69E-07,0.264134062
1.4,4.9,KEL,25,4.37E-07,1309.101333,778.5584913,0.097411335,0.127370858,0.35588204,1.81E-06,0.264516156
1.9,4.9,KEL,25,4.37E-07,2395.48,775.7274734,0.097240673,0.127271867,0.355883114,3.55E-06,0.264728827
0.5,5.9,KEL,30,5.86E-07,145.3055556,804.01806,0.099754895,0.157769052,0.31831265,7.54E-07,0.24596559
0.7,5.9,KEL,30,5.86E-07,280.0911111,795.046137,0.099013702,0.156478386,0.317791918,4.87E-07,0.246055573
1,5.9,KEL,30,5.86E-07,564.7722222,789.129375,0.098705055,0.155603575,0.317153716,5.59E-07,0.245837719
1.4,5.9,KEL,30,5.86E-07,1098.417778,785.7940233,0.098545299,0.155099822,0.316943582,1.24E-06,0.245897326
1.9,5.9,KEL,30,5.86E-07,2011.133333,783.1890582,0.098432114,0.154754315,0.316932509,2.48E-06,0.246085367
0.5,1.54,VOR,10,6.86E-09,6908.879,883.0379136,0.334492382,0.227797941,0.391426529,6.00E-07,0.379730422
0.7,1.54,VOR,10,6.86E-09,12833.55667,758.2454297,0.328305178,0.226156544,0.393108655,3.92E-07,0.382448095
1,1.54,VOR,10,6.86E-09,25410.72667,712.469792,0.325136808,0.226212897,0.394224699,1.06E-06,0.382882441
1.4,1.54,VOR,10,6.86E-09,49119.38333,700.530344,0.323642994,0.230413798,0.394557248,2.45E-06,0.382832147
1.9,1.54,VOR,10,6.86E-09,89765.63333,696.1224435,0.32199445,0.234059422,0.394704307,4.74E-06,0.382514184
0.5,2.28,VOR,15,9.75E-09,3950.860667,555.7047832,0.282889564,0.209212358,0.383321517,6.47E-07,0.296188145
0.7,2.28,VOR,15,9.75E-09,7585.92,536.0769125,0.279088691,0.208947041,0.385071412,3.87E-07,0.301549011
1,2.28,VOR,15,9.75E-09,15295.53556,528.406934,0.274631968,0.209139597,0.386494761,7.76E-07,0.305241956
1.4,2.28,VOR,15,9.75E-09,29761.83333,526.2456684,0.272907863,0.208672928,0.387031613,1.80E-06,0.306107086
1.9,2.28,VOR,15,9.75E-09,54552.35556,525.1673263,0.272329525,0.208433574,0.387204036,3.52E-06,0.306302333
0.5,3.02,VOR,20,1.32E-08,2714.08325,532.0824802,0.214727872,0.188246123,0.365165585,6.64E-07,0.273826516
0.7,3.02,VOR,20,1.32E-08,5237.071783,518.9844449,0.218767191,0.180991199,0.366428831,4.02E-07,0.280647523
1,3.02,VOR,20,1.32E-08,10582.50717,514.462102,0.220609347,0.17854576,0.367972973,6.28E-07,0.287389032
1.4,3.02,VOR,20,1.32E-08,20609.63683,512.6346276,0.220629413,0.177783862,0.368950718,1.42E-06,0.290619119
1.9,3.02,VOR,20,1.32E-08,37805.36283,511.7296513,0.220711516,0.177237847,0.369300926,2.79E-06,0.291508901
0.5,3.78,VOR,25,2.11E-08,2168.2552,541.501975,0.202523084,0.18866539,0.350270209,6.31E-07,0.259855318
0.7,3.78,VOR,25,2.11E-08,4201.645333,533.629488,0.204160842,0.184433316,0.350673011,4.17E-07,0.253128831
1,3.78,VOR,25,2.11E-08,8510.72,530.2454248,0.202317329,0.181637211,0.350986363,6.54E-07,0.247101951
1.4,3.78,VOR,25,2.11E-08,16598.48267,528.7176181,0.198336848,0.179122928,0.351121278,1.41E-06,0.244176663
1.9,3.78,VOR,25,2.11E-08,30467.85333,527.4850888,0.19613161,0.17723717,0.35125901,2.70E-06,0.243500039
0.5,4.55,VOR,30,2.32E-08,1859.616778,466.0937672,0.238532967,0.188805248,0.366539181,0.004911047,0.314742118
0.7,4.55,VOR,30,2.32E-08,3611.916667,462.0993703,0.236477273,0.188119038,0.366723394,0.004911047,0.315822604
1,4.55,VOR,30,2.32E-08,7323.337778,460.247319,0.235307138,0.18797955,0.36669897,0.004911047,0.316529141
